ano_evento_v17,casos_total,com_denominador_n,sem_denominador_n,pct_sem_denominador,status_denominador,politica,serie_populacional_disponivel,nota
2017,310,0,310,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2018,287,0,287,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2019,246,0,246,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2020,118,118,0,0.0,denominador_real_ibge,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2021,99,99,0,0.0,denominador_real_ibge,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2022,191,191,0,0.0,denominador_real_ibge,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2023,268,268,0,0.0,denominador_real_ibge,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2024,267,267,0,0.0,denominador_real_ibge,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2025,246,246,0,0.0,denominador_real_ibge,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2026,173,0,173,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
